video_id,title,path,recording_at,recording_end,track_id,tracker_id,start_time,end_time,object_type,width,length,detection_time,x_cord_m,y_cord_m,total_kms,speed_km_h,direction
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:54.979012,100.52788,150.96024,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.030452,100.52706,150.95761,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.077393,100.51855,150.96655,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.124346,100.50697,150.96455,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.169856,100.50313,150.98404,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.219709,100.49073,151.00784,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.264729,100.47391,151.02193,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.31327,100.46187,151.01874,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.360017,100.45250,151.02812,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.428041,100.45499,151.04266,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.471527,100.45675,151.06104,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.513742,100.45364,151.08330,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.555501,100.44961,151.09866,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.599125,100.44690,151.11755,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.641098,100.44984,151.13512,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.683849,100.45132,151.16830,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.726566,100.45613,151.16263,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.76918,100.44514,151.18745,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.810701,100.42258,151.21507,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.851908,100.40794,151.23660,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.893695,100.39579,151.25554,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.935784,100.37298,151.28807,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:55.976911,100.36863,151.31033,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.04781,100.35880,151.31039,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.094653,100.34666,151.32021,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.142314,100.33377,151.32489,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.189236,100.32211,151.32933,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.233156,100.32182,151.32561,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.27778,100.31485,151.31187,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.321332,100.30923,151.33633,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.36501,100.30899,151.33702,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.410668,100.30267,151.35507,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.453297,100.30898,151.36588,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.50106,100.31229,151.38501,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.546498,100.33636,151.43292,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.590356,100.33093,151.46579,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.638727,100.32872,151.48848,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.683603,100.31310,151.51688,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.731569,100.29210,151.53844,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.773625,100.26912,151.55164,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.818133,100.26360,151.57120,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.863423,100.26463,151.59685,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.911297,100.25985,151.60472,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:56.955058,100.24931,151.62396,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.001977,100.23925,151.62636,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.054487,100.22623,151.61523,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.098479,100.22295,151.59476,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.140831,100.20843,151.58792,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.187657,100.20238,151.57907,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.236182,100.19396,151.57196,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.282416,100.16509,151.56677,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.322904,100.11177,151.60570,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.368821,100.09264,151.60855,,,
12,video,./project/video.MP4,2024-08-19 13:24:50.972939,2024-08-19 13:26:14.919402,55,1,2024-08-19 13:24:51.769661+03,,medium car,2.666700,5.833300,2024-08-19 13:24:57.412859,100.06539,151.61595,,,
